COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
10,Cáceres,2024,M08,206.0,52.52,51.37,47.86,9584.0,2026-09-14T13:39:16.852415
10,Cáceres,2024,M09,200.0,55.5,51.65,44.07,9373.0,2026-09-14T13:39:16.852415
10,Cáceres,2024,M10,206.0,52.97,49.66,41.34,9606.0,2026-09-14T13:39:16.852415
10,Cáceres,2024,M11,207.0,48.48,44.76,37.71,9403.0,2026-09-14T13:39:16.852415
10,Cáceres,2024,M12,197.0,44.02,34.26,30.22,8884.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M01,172.0,32.08,28.63,23.47,7906.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M02,187.0,44.33,38.42,31.19,8394.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M03,199.0,42.49,39.86,32.93,8998.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M04,200.0,54.91,51.57,45.22,9119.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M05,202.0,49.63,48.2,41.28,9221.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M06,203.0,47.7,43.7,37.39,9377.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M07,195.0,49.61,42.94,39.26,9091.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M08,196.0,48.15,45.11,42.18,9094.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M09,197.0,48.73,45.87,39.75,9111.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M10,197.0,53.41,49.38,41.88,9088.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M11,198.0,45.38,41.19,34.75,8956.0,2026-09-14T13:39:16.852415
10,Cáceres,2025,M12,186.0,41.86,33.27,28.91,8517.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M01,164.0,35.99,28.5,24.02,7672.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M02,166.0,43.04,33.74,28.01,7653.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M03,189.0,47.74,41.8,36.28,8958.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M04,193.0,59.47,56.18,48.44,9034.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M05,190.0,56.68,49.69,42.29,8945.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M06,189.0,51.06,43.76,37.82,8725.0,2026-09-14T13:39:16.852415
10,Cáceres,2026,M07,185.0,47.78,42.49,38.01,8553.0,2026-09-14T13:39:16.852415
11,Cádiz,2024,M08,542.0,79.93,83.1,78.74,52910.0,2026-09-14T13:39:16.852415
11,Cádiz,2024,M09,507.0,70.8,74.77,63.56,51732.0,2026-09-14T13:39:16.852415
11,Cádiz,2024,M10,412.0,62.25,62.27,50.63,47646.0,2026-09-14T13:39:16.852415
11,Cádiz,2024,M11,319.0,50.54,54.16,41.04,27592.0,2026-09-14T13:39:16.852415
11,Cádiz,2024,M12,309.0,42.6,39.02,31.27,25193.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M01,254.0,39.75,44.2,34.21,23077.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M02,266.0,51.8,52.76,40.61,25359.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M03,325.0,49.23,52.76,40.29,30929.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M04,462.0,59.34,54.21,46.51,48558.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M05,492.0,66.8,65.43,54.6,51633.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M06,523.0,75.01,70.93,63.7,52659.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M07,540.0,81.37,79.64,75.1,53002.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M08,550.0,81.63,84.42,80.55,53189.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M09,545.0,72.84,74.68,64.79,53030.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M10,407.0,64.77,66.45,55.25,47340.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M11,326.0,53.55,54.26,42.56,28688.0,2026-09-14T13:39:16.852415
11,Cádiz,2025,M12,287.0,45.83,42.76,35.6,25738.0,2026-09-14T13:39:16.852415
11,Cádiz,2026,M01,281.0,40.29,41.67,33.15,24484.0,2026-09-14T13:39:16.852415
11,Cádiz,2026,M02,315.0,52.96,49.36,38.91,28172.0,2026-09-14T13:39:16.852415
11,Cádiz,2026,M03,368.0,48.04,50.93,40.18,34986.0,2026-09-14T13:39:16.852415
